study,locus,unique_v3j,unique_vdj,reads,url
Corcoran et al. (2016),IGK,237850,1410028,1445994,https://dx.doi.org/10.1038/ncomms13642
Levin et al. (2017),IGL,27,32,32,http://www.sciencedirect.com/science/article/pii/S0091674916307795?via%3Dihub
Landais et al. (2017),IGL,1,1,1,https://www.cell.com/immunity/fulltext/S1074-7613(17)30479-X
Rubelt et al. (2016),IGK,552,1035,1107,https://www.nature.com/articles/ncomms11112
Thornqvist et al. (2018),IGL,27,32,32,https://www.sciencedirect.com/science/article/pii/S2352340918304785#bib2
Wu et al. (2015),IGH,1465256,4398857,6689756,https://www.ncbi.nlm.nih.gov/pubmed/25865483
Zhou et al. (2015),IGH,428527,905092,1364432,https://doi.org/10.1016/j.cell.2015.05.007
Mroczek et al. (2014),IGH,204917,274192,280356,https://dx.doi.org/10.3389/fimmu.2014.00096
Galson et al. (2016),IGL,11,31,31,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-016-0322-z
Bonsignori et al. (2016),IGH,155850,356632,622369,https://doi.org/10.1016/j.cell.2016.02.022
Briney et al. (2019),IGH,110198236,325833655,326055693,https://www.nature.com/articles/s41586-019-0879-y
Fisher et al. (2017),IGK,13076,186646,203978,http://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1006469
Levin et al. (2017),IGK,9,9,9,http://www.sciencedirect.com/science/article/pii/S0091674916307795?via%3Dihub
Eliyahu et al. (2018),IGL,8,8,36,https://www.frontiersin.org/articles/10.3389/fimmu.2018.03004/full
Huang et al. (2016),IGH,218158,6286983,6315171,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5770152/
Ota et al. (2010),IGH,6,8,9,https://dx.doi.org/10.4049/jimmunol.1002176
Doria-Rose et al. (2015),IGH,477071,1536136,2270588,https://www.nature.com/articles/nature13036
Wu et al. (2011),IGH,232858,795703,902521,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3516815/
Zhou et al. (2013),IGH,275778,701587,1163318,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3985390/
Collins et al. (2015),IGH,169977,962321,1123488,https://dx.doi.org/10.1098/rstb.2014.0236
Joyce et al. (2016),IGH,184426,3312081,3372562,https://dx.doi.org/10.1016/j.cell.2016.06.043
undefined,TRB,19305878,87615178,125864522,undefined
Corcoran et al. (2016),IGH,768130,3766041,3861708,https://dx.doi.org/10.1038/ncomms13642
Liao et al. (2013),IGK,3,3,3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3637846/
Zhou et al. (2013),IGL,28019,112504,136764,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3985390/
Zhou et al. (2015),IGK,42,44,44,https://doi.org/10.1016/j.cell.2015.05.007
Zhu et al. (2012),IGH,184999,620656,819359,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3441199/
Soto et al. (2016),IGH,442565,1176131,1576909,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0157409
Zhu et al. (2012),IGK,42734,357688,821224,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3441199/
undefined,IGH,38553,44524,219839,undefined
Joyce et al. (2016),IGL,2,2,2,https://dx.doi.org/10.1016/j.cell.2016.06.043
Wu et al. (2015),IGL,27,39,39,https://www.ncbi.nlm.nih.gov/pubmed/25865483
Lindner et al. (2015),IGH,494321,1588854,2796216,https://dx.doi.org/10.1038/ni.3213
Greiff et al. (2015),IGL,2,2,2,https://www.ncbi.nlm.nih.gov/pubmed/26140055
Schanz et al. (2014),IGK,140873,2273285,2274385,http://journals.plos.org/plosone/article/comments?id=10.1371/journal.pone.0111726
Rubelt et al. (2016),IGL,502,777,889,https://www.nature.com/articles/ncomms11112
Banerjee et al. (2017),IGH,1026344,4509383,5278031,https://www.sciencedirect.com/science/article/pii/S0042682217300569?via%3Dihub
Gidoni et al. (2019),IGL,323293,7803455,10452287,https://www.nature.com/articles/s41467-019-08489-3
Greiff et al. (2014),IGK,16,33,33,https://dx.doi.org/10.1186/s12865-014-0040-5
Zhou et al. (2013),IGK,333882,1537047,2403293,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3985390/
Doria-Rose et al. (2015),IGK,64565,324247,427851,https://www.nature.com/articles/nature13036
Thornqvist et al. (2018),IGH,5019257,30639360,35158866,https://www.sciencedirect.com/science/article/pii/S2352340918304785#bib2
Galson et al. (2015),IGK,4,4,4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/
Zhu et al. (2013),IGH,637020,1631119,1855152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3808619/
Greiff et al. (2015),IGH,326212,876988,901769,https://www.ncbi.nlm.nih.gov/pubmed/26140055
Jiang et al. (2013),IGH,2863268,7209243,8089486,http://stm.sciencemag.org/content/5/171/171ra19
Schanz et al. (2014),IGH,643960,14845242,17615665,http://journals.plos.org/plosone/article/comments?id=10.1371/journal.pone.0111726
Vergani et al. (2017),IGH,3039801,11024047,15596405,https://www.frontiersin.org/articles/10.3389/fimmu.2017.01157/full
undefined,TRA,6195481,49719683,63645464,undefined
Landais et al. (2017),IGH,1371040,11121542,12957321,https://www.cell.com/immunity/fulltext/S1074-7613(17)30479-X
Waltari et al. (2018),IGK,1237542,37908338,74301289,https://www.frontiersin.org/articles/10.3389/fimmu.2018.00628/full
Banerjee et al. (2017),IGK,394227,3116613,4655018,https://www.sciencedirect.com/science/article/pii/S0042682217300569?via%3Dihub
Wu et al. (2011),IGK,33808,192076,217239,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3516815/
Stern et al. (2014),IGK,65,71,71,https://www.ncbi.nlm.nih.gov/pubmed/25100741
Zhu et al. (2012),IGL,2,3,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3441199/
Briney et al. (2019),IGL,99,163,163,https://www.nature.com/articles/s41586-019-0879-y
Vander Heiden et al. (2017),IGL,473058,6147080,9285922,https://www.ncbi.nlm.nih.gov/pubmed/28087666
Waltari et al. (2018),IGH,4279098,36814661,45844952,https://www.frontiersin.org/articles/10.3389/fimmu.2018.00628/full
Galson et al. (2016),IGK,11,32,32,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-016-0322-z
Doria-Rose et al. (2015),IGL,173219,766230,1328865,https://www.nature.com/articles/nature13036
Wu et al. (2014),IGH,52976,81609,90458,https://www.ncbi.nlm.nih.gov/pubmed/25171866
Briney et al. (2019),IGK,2670,14022,14033,https://www.nature.com/articles/s41586-019-0879-y
Greiff et al. (2015),IGK,1,1,1,https://www.ncbi.nlm.nih.gov/pubmed/26140055
Bashford et al. (2013),IGL,10,11,12,https://doi.org/10.1101/gr.154815.113
Menzel et al. (2014),IGH,1049901,16214118,16218939,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014543/
Ellebedy et al. (2016),IGH,4379960,20850276,23193517,https://www.nature.com/articles/ni.3533
Tipton et al. (2015),IGH,4617857,29020355,31979998,https://www.ncbi.nlm.nih.gov/pubmed/26006014
Vander Heiden et al. (2017),IGK,928705,9712242,18257192,https://www.ncbi.nlm.nih.gov/pubmed/28087666
Galson et al. (2016),IGH,4327357,19138200,25643419,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-016-0322-z
Stern et al. (2014),IGH,400513,7706926,9335523,https://www.ncbi.nlm.nih.gov/pubmed/25100741
Gidoni et al. (2019),IGK,927759,19924649,34906356,https://www.nature.com/articles/s41467-019-08489-3
